General POS,Detailed POS
DT.* NN.* LM VB.* CC.* FW FW CC.* NN.* PM.* NN.* CC.* NN.* NN.* NN.* NN.*_PM.*,DTC NNC LM VBTS CCT FW FW CCP NNC PMS NNC CCB NNP NNP NNP NNP_PMC
PR.* JJ.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_PM.*,PRI_CCP JJD_CCP NNC CCT NNC CCB NNC CCB NNC CCB NNPA_PMP
DT.* DT.* NN.* LM VB.* CC.* NN.* FW NN.*_PM.*,DTC DTCP NNC LM VBOF CCB NNPA FW NNP_PMC
CC.* DT.* NN.* NN.*_PM.*,CCP DTP NNP NNP_PMC
CC.* NN.* FW NN.* CC.*,CCT NNP FW NNP CCT
CD.* NN.* JJ.*_PM.*,CDB NNPA JJD_PMP
PR.* DT.* JJ.* JJ.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* CD.* NN.* NN.* LM VB.* CC.* NN.* NN.* RB.* NN.*_PM.*,PRO DTC JJN_CCP JJD_CCP NNC CCB NNC CCT NNPA CCR DTC NNC CCT CDB NNC_CCP NNC LM VBTS CCB NNPA NNP RBW_CCP NNP_PMP
CC.* PR.* NN.* CC.* NN.*_PM.*,CCT PRSP_CCP NNC CCT NNPA_PMC
DT.* NN.* NN.* LM VB.* CC.* VB.* NN.* FW PM.* NN.* DT.* RB.* NN.* DT.* VB.* NN.*_PM.*,DTP NNP NNP LM VBTS CCP VBN_CCP NNC_CCP FW PMS NNC DTC RBL NNC DTC VBTR_CCP NNC_PMC
DT.* DT.* NN.* CC.* NN.* CC.* DT.* NN.*_PM.*,DTP DTCP NNC CCB NNC CCB DTCP NNC_PMP
VB.* PR.* CC.* VB.* CC.* DT.* DT.* NN.* JJ.*_PM.*,VBTS PRS CCP VBTS CCP DTC DTCP NNC JJD_PMC
CC.* DT.* DT.* NN.* VB.* LM RB.* VB.* PM.* NN.* CC.*_PM.* RB.* VB.* CC.* VB.*_PM.* CC.* NN.* CC.* DT.* PR.* JJ.* NN.*_PM.*,CCA DTC DTCP NNC_CCP VBTS LM RBF VBTS PMS NNC CCP_PMS RBT_CCP VBOF CCT VBW_PMS CCT NNC CCB DTCP PRI_CCP JJD_CCP NNC_PMP
DT.* DT.* JJ.* NN.* NN.* CC.* NN.* DT.* VB.* CC.* VB.* RB.* CC.* JJ.* JJ.* CC.* NN.* PR.* NN.*_PM.*,DTC DTCP JJD_CCP NNC_CCP NNC CCT NNPA DTC VBTS CCP VBTR RBR CCT JJC_CCP JJD CCP NNC PRO_CCP NNC_PMC
CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* JJ.* CC.* VB.* CC.* VB.* CC.* NN.*_PM.*,CCA DTC NNC CCB NNC CCB NNC CCP JJD CCP VBAF CCA VBAF CCB NNC_PMP
NN.* NN.*_PM.*,NNP NNP_PMC
DT.* VB.* CC.* NN.* CC.* NN.* LM VB.*_PM.* PR.* JJ.* NN.* CC.* VB.* CC.* NN.*_PM.*,DTC VBTR_VBAF CCT NNP CCP NNP LM VBTS_CCP_PMS PRO_CCP JJD_CCP NNC CCP VBAF CCB NNC_PMC
CC.* VB.* CC.* JJ.* JJ.* NN.*_PM.*,CCP VBAF CCB JJCC JJD_CCP NNC_PMC
CC.* VB.* DT.* JJ.* PR.* RB.* RB.* PR.*_PM.*,CCT VBW DTC JJCC PRI RBI_CCP RBR PRSP_PMC
CC.* JJ.* RB.* PR.* RB.* PM.* FW_PM.*,CCP JJCC RBI PRO_CCP RBI_CCP PMS FW_PMC
DT.* PR.* CC.* PR.* CC.* NN.* PR.* LM PR.* VB.* NN.*_PM.*_PM.*,DTC PRI CCB PRO CCT NNC PRS LM PRS_CCP VBTR NNC_PMP_PMS
DT.* NN.* LM RB.* PM.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.* CC.* NN.* CC.* NN.* RB.* JJ.* PM.* CD.* CC.* JJ.* PM.* CD.* CC.* NN.* RB.* CC.* CC.* PM.* VB.* CC.* VB.* NN.*_PM.*,DTC NNC LM RBD PMS NNC CCT NNC CCB NNP CCT NNC CCB NNP NNP CCT NNP CCB NNP RBW_CCP JJN PMS CDB CCA JJN PMS CDB CCB NNP RBR CCT CCR PMS VBTF CCB VBTR_CCP NNC_PMC
DT.* FW CC.* NN.* NN.*_PM.*,DTC FW CCP NNP NNP_PMC
CC.* VB.* VB.* CC.* VB.* NN.* CC.* NN.* CC.* NN.*_PM.*,CCP VBTS_CCP VBOF CCA VBN_CCP NNC CCT NNP CCB NNP_PMP
DT.* NN.* NN.* NN.* NN.* NN.*_PM.*,DTP NNP NNP NNP NNPA NNP_PMC
NN.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* CC.* NN.* NN.* CC.* NN.* PR.* DT.* NN.* CC.* VB.* PR.* JJ.* CC.* DT.* NN.* CC.* NN.* NN.* LM VB.* CC.* DT.* NN.* CC.* NN.* LM VB.* CC.* NN.* CC.*_PM.* JJ.* CC.* JJ.* CC.* NN.* CC.* VB.* DT.* NN.* CC.* PR.* NN.*_PM.*,NNP NNP LM VBTS CCT NNP CCB NNP CCA NNP CCB NNP CCP DTP NNP NNP CCT NNP NNP CCR NNC PRS DTC NNC CCP VBOF PRS JJD CCP DTC NNC CCT NNP NNP LM VBTS CCP DTC NNP CCB NNP LM VBH CCT NNC CCP_PMS JJD CCA JJD CCP NNC CCT VBW DTC NNC CCT PRC_CCP NNC_PMC
CC.* PR.* LM VB.* RB.*_PM.*_PM.*,CCA PRO LM VBTS RBI_PMC_PMS
CC.* VB.* RB.* RB.* VB.* DT.* NN.* CC.* JJ.* NN.* CC.* VB.* DT.* NN.* VB.* VB.* CC.* NN.* CC.* NN.*_PM.*,CCA VBOF RBK RBQ VBOF DTC NNP CCB JJN_CCP NNC CCB VBW DTC NNC VBW VBW CCT NNC CCB NNP_PMP
VB.* DT.* NN.* NN.* CC.* CC.* JJ.* NN.* CC.* NN.* RB.* JJ.* PM.* CD.* CC.* NN.*_PM.*,VBAF DTP NNP NNP CCP CCT JJN_CCP NNC CCT NNC RBW_CCP JJN PMS CDB CCB NNP_PMC
PM.*_ VB.* RB.* PR.* VB.* JJ.*_PM.*_PM.*,PMS_ VBN RBI PRO_CCP VBTR_CCP JJD_PMC_PMS
CC.* VB.* DT.* VB.* CC.* NN.* CC.* DT.* NN.* LM VB.* RB.* JJ.* NN.*_PM.*,CCA VBTS_VBOF DTC VBTR CCB NNP CCP DTC NNC LM VBTS_CCP RBD JJN_CCP NNC_PMC
CC.* VB.* CC.*_PM.* RB.* VB.* CC.* PR.* LM VB.* CC.* PR.* CD.* CC.* NN.*_PM.*_PM.*,CCA VBTS CCP_PMS RBF VBTS CCP PRO LM VBTS CCT PRI_CCP CDB CCP NNC_PMP_PMS
DT.* NN.* LM VB.* CC.* VB.* CC.* RB.* NN.* DT.* VB.* CC.* NN.* CC.* PR.*_PM.* JJ.* NN.* CC.* NN.*_PM.*_PM.*,DTP NNP LM VBTS CCB VBOF CCP RBF NNP DTC VBTS CCT NNC CCT PRI_CCP_PMS JJD_CCP NNC CCB NNP_PMS_PMC
CC.* VB.* PR.* DT.* NN.*_PM.*,CCT VBTS_VBOF PRO DTP NNP_PMC
CC.* VB.* CC.* DT.* NN.*_PM.* LM VB.* DT.* DT.* JJ.* CC.* NN.* LM VB.* PR.* NN.* CC.* VB.* DT.* NN.*_PM.* CC.* VB.* DT.* NN.*_PM.* CC.* VB.* CC.* NN.* CC.* PR.* FW CC.* VB.* CC.* VB.* DT.* DT.* NN.*_PM.*_PM.*,CCA VBTS CCP DTP NNP_PMS LM VBTR_CCP DTC DTCP JJD CCP NNC LM VBN_CCP PRI_CCP NNC CCP VBOF DTC NNP_PMS CCA VBS DTP NNP_PMS CCP VBAF CCT NNC CCT PRSP_CCP FW CCA VBAF CCA VBOF DTC DTCP NNC_PMP_PMS
VB.* DT.* PR.* NN.*_PM.*,VBW DTC PRQ_CCP NNC_PMC
DT.* NN.* NN.* NN.*_PM.* NN.* NN.* NN.*_PM.*,DTP NNP NNP NNP_PMS NNP NNPA NNP_PMC
NN.* NN.* LM VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.*_PM.*,NNP NNP LM VBTS_VBOF DTC NNC CCB NNP CCT NNC CCB NNC_CCP NNC_PMC
CC.* VB.* DT.* DT.* NN.* CC.* RB.* VB.* CC.* NN.* CC.* JJ.* NN.*_PM.*,CCA VBTS DTC DTCP NNC CCB RBF VBW CCT NNC CCB JJN_CCP NNC_PMC
CC.* VB.* CC.*_PM.* PR.* CC.* VB.* CC.* RB.* VB.* RB.* CC.* DT.* RB.* JJ.* NN.* CC.* NN.* CC.* NN.*_PM.* CC.* DT.* NN.* NN.*_PM.* LM RB.* VB.* CC.* NN.* CC.*,CCA VBTS CCP_PMS PRO CCA VBTS CCA RBT_CCP VBW RBI CCB DTCP RBF JJD_CCP NNC CCT NNC CCA NNC_PMS CCA DTC NNP NNP_PMS LM RBF VBTR CCT NNC CCB
PR.* LM JJ.* CC.* VB.* VB.* JJ.* CC.* RB.* RB.* RB.* RB.*_PM.*_PM.*,PRO LM JJD CCP VBS_CCP VBH JJD CCB RBK RBQ RBI RBI_PMP_PMS
DT.* NN.* NN.* NN.* NN.* NN.*_PM.*,DTP NNP NNP NNP NNPA NNP_PMC
NN.* NN.* NN.* LM VB.* CC.* VB.* NN.* CC.* NN.* CC.* NN.* RB.* RB.* VB.* DT.* NN.* NN.*_PM.*,NNP_CCP NNP NNPA LM VBTS CCP VBN_CCP NNC CCB NNC CCT NNC RBK RBQ VBTS DTC NNP NNP_PMC
CC.* DT.* NN.* CC.* NN.* CC.* CC.* RB.* VB.* NN.* LM VB.* PM.* VB.* RB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* PR.*_PM.*,CCA DTC NNC CCB NNC CCT CCT RBF VBW_CCP NNC LM VBW PMS VBTF RBI CCB NNC CCT NNC CCB NNC CCT PRQ_PMP
DT.* NN.* LM RB.* VB.* RB.* NN.*_PM.*,DTC NNC LM RBD_CCP VBTS RBW_CCP NNP_PMC
JJ.* PM.* CD.* CC.* NN.*_PM.*,JJN PMS CDB CCB NNP_PMC
RB.* CC.* JJ.* CC.* NN.*_PM.*,RBR CCT JJD CCP NNC_PMC
CC.* VB.* RB.* CC.* RB.* VB.* CC.* JJ.* NN.* DT.* VB.*_PM.*,CCA VBTS RBI CCP RBF VBTF CCT JJN_CCP NNC DTC VBOF_PMP
DT.* NN.* DT.* NN.* NN.* LM VB.* JJ.* CC.* PR.* JJ.* NN.* RB.* RB.* CC.* PR.* DT.* PR.* PR.* NN.* RB.* RB.* CC.* NN.*_PM.*,DTC NNC DTP NNP NNP LM VBTS JJD CCT PRSP_CCP JJD_CCP NNC RBK RBQ CCB PRS DTC PRSP_CCP PRQ_CCP NNC RBI RBI CCP NNC_PMP
VB.* CC.* NN.* CC.* NN.* NN.* NN.* NN.* CC.* DT.* NN.* NN.* DT.* PR.* JJ.* JJ.* CC.* NN.* CC.* NN.* RB.* JJ.* NN.* CC.* CD.* NN.* NN.* NN.* CD.* CC.* NN.* NN.* NN.* NN.*_PM.*,VBTS CCB NNC CCT NNPA NNP NNP NNP CCP DTP NNP NNP DTC PRSP_CCP JJN_CCP JJD CCP NNC CCT NNC RBW_CCP JJD_CCP NNP CCT CDB NNP NNP NNP CDB CCT NNP NNP NNP NNP_PMP
PR.* DT.* JJ.* PM.* CD.* PR.* NN.* CC.* CD.* NN.* CC.* VB.* JJ.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_PM.*,PRO DTC JJN PMS CDB PRS_CCP NNC CCT CDB NNC CCB VBTR_CCP JJD CCP NNC CCB NNC CCP NNC CCT NNPA_PMC
RB.* RB.* VB.* PR.* PM.* NN.* PR.* DT.* NN.* NN.* CC.* JJ.* NN.*_PM.*,RBK RBQ VBTS PRS PMS NNC PRS DTP NNP NNP CCT JJCS_JJD_CCP NNC_PMP
VB.* DT.* NN.* CC.* CD.* CC.* NN.* NN.* CC.* DT.* CD.* FW CC.* NN.* NN.* CC.* NN.*_PM.*,VBTS DTP NNP CCB CDB CCP NNC NNPA CCB DTC CDB FW CCP NNC NNPA CCT NNC_PMC
CC.* VB.* CC.* PR.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* NN.*_PM.*,CCP VBTS CCT PRSP CCT VBTR CCT NNC CCP DTP NNP NNP_PMC
CC.* VB.* PR.* VB.* CC.* CD.* CC.* NN.* CC.* JJ.* NN.*_PM.*,CCT VBTR PRS_CCP VBTS CCB CDB CCP NNC CCT JJN_CCP NNC_PMP
CC.* NN.* CC.* NN.*_PM.*,CCT NNC CCB NNC_PMC
DT.* NN.* CC.* NN.* LM VB.* CC.* CD.* CC.* CD.* NN.*_PM.*,DTPP NNP CCA NNP LM VBTR CCT CDB CCA CDB_CCP NNC_PMP
DT.* NN.* NN.*_PM.*,DTP NNP NNP_PMC
CC.* CC.* PR.* NN.* DT.* NN.* NN.*_PM.*,CCR CCT PRSP_CCP NNC DTP NNP NNP_PMC
LM VB.* CC.* JJ.* NN.* CC.* DT.* PR.* NN.* CC.* DT.* NN.* LM RB.* RB.* PM.* CD.*_PM.*,LM VBTS CCT JJN_CCP NNC CCT_CCP DTC PRSP_CCP NNC CCP DTP NNP LM RBL RBI_CCP PMS CDB_PMP
DT.* NN.*_PM.*,DTPP NNP_PMC
NN.* NN.*_PM.*,NNP NNP_PMC
NN.* NN.*_PM.*,NNP NNP_PMC
CC.* NN.* DT.* JJ.* CC.* JJ.* JJ.* NN.*_PM.*,CCA NNP DTC JJD CCT JJN_CCP JJN_CCP NNC_PMP
DT.* NN.* LM VB.* CC.* PR.* NN.* RB.* VB.* DT.* JJ.* CC.* PR.* LM RB.* RB.* PM.* JJ.* CC.* NN.*_PM.*,DTP NNP LM VBAF CCB PRI_CCP NNC RBW VBTS DTC JJN CCA PRS LM RBL RBI_CCP PMS JJN CCP NNC_PMC
CC.* DT.* NN.* NN.* LM VB.* CC.* RB.* PM.* JJ.*_PM.*,CCA DTP NNP NNP LM VBTR_VBAF CCT RBI_CCP PMS JJN_PMP
DT.* NN.* NN.* CC.* NN.* NN.* DT.* CC.* CC.* RB.* PM.* CD.* CC.* PR.* LM RB.* RB.* NN.*_PM.*,DTPP NNP NNP CCA NNP NNP DTC CCB CCT RBI_CCP PMS CDB CCA PRP LM RBW_CCP RBL NNP_PMP
JJ.* CC.* VB.* JJ.* NN.* JJ.* NN.* CC.* NN.* NN.* CC.* NN.* DT.* VB.* CC.* NN.*_PM.*,JJD CCP VBN_CCP JJD_CCP NNC_CCP JJD_CCP NNC CCT NNP NNP CCT NNP DTC VBTS CCB NNC_PMP
VB.* DT.* NN.* CC.* VB.* CC.* VB.* PR.* RB.* JJ.* NN.*_PM.*,VBTS DTC NNP CCA VBTR_CCP CCP VBTF PRO RBW JJN_CCP NNC_PMP
RB.* RB.* DT.* JJ.* NN.* LM VB.* CC.* JJ.* CD.* CC.* NN.* RB.* NN.* CC.* NN.*_PM.*,RBD RBI DTC JJD_CCP NNC LM VBTF CCT JJCC CDB CCP NNC_CCP RBL NNC CCT NNP_PMP
VB.* CC.* NN.* NN.* CC.* CC.* JJ.* NN.* CC.* DT.* NN.* LM VB.* RB.* JJ.* PM.* CD.* CC.* NN.* VB.* CC.* JJ.* NN.* CC.* NN.*_PM.*,VBTS CCB NNPA NNP CCT CCT JJD_CCP NNP CCP DTC NNC LM VBTS RBW JJN PMS CDB CCP NNC VBW CCB JJD_CCP NNC CCB NNC_PMP
PR.* DT.* NN.* PM.* NN.* NN.* CC.* NN.* CC.* VB.* CC.* DT.* JJ.* NN.*_PM.*,PRO DTC NNC PMS NNC_CCP NNC CCB NNC CCP VBAF CCT DTCP JJD_CCP NNC_PMC
CC.* CC.* VB.* DT.* DT.* JJ.* CC.* NN.* CC.* NN.* CC.* NN.*_PM.*,CCT CCP VBTR DTC DTCP JJD CCP NNC CCT NNPA CCA NNP_PMP
DT.* NN.* LM RB.* CC.* VB.* CC.* RB.* PR.* VB.* CC.* DT.* NN.*_PM.*,DTC NNC LM RBD CCP VBTR_VBAF CCT RBF PRO VBTR CCT DTCP NNC_PMP
DT.* NN.* CC.* JJ.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* JJ.* JJ.* NN.* NN.* NN.* PM.* NN.*_PM.*,DTC NNC CCB JJD_CCP NNC LM VBTR CCB NNC CCT NNC CCB JJCC JJN_CCP NNC_CCP NNC NNC PMS NNC_PMP
DT.* NN.* CC.* PR.* LM_PM.* RB.* CC.* JJ.* CC.* NN.*_PM.* CC.* NN.* CC.* NN.* RB.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* CD.*_PM.* NN.* RB.* VB.* RB.* CC.* CC.* NN.* CC.* VB.* DT.* DT.* NN.* RB.* JJ.* NN.*_PM.*,DTC NNC CCP PRO LM_PMS RBD CCA JJD CCP NNC_PMS CCT NNC CCB NNC RBR CCT NNC CCB NNPA CCP DTP NNP CDB_PMS NNP RBW VBW RBI CCR CCT NNC CCP VBOF DTC DTCP NNC RBW_CCP JJD_CCP NNC_PMP
DT.* NN.* LM RB.* VB.* RB.* CC.* DT.* NN.* CC.* NN.* CC.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_PM.*,DTC NNC LM RBD_CCP VBTF RBW CCT DTCP NNC CCB NNP CCT CCT NNPA CCA NNP CCT NNC CCB NNC_PMP
RB.* JJ.* RB.* DT.* NN.* CC.* CC.* FW PM.* NN.* CC.* NN.*_PM.*,RBW JJD RBI DTC NNC CCT CCT FW PMS NNC CCT NNP_PMC
VB.* CC.* VB.* RB.* NN.* CC.* NN.* DT.* NN.* NN.* CC.* NN.*_PM.*,VBTR CCP VBTR_VBAF RBW_CCP NNC CCB NNC DTC NNP NNP CCT NNP_PMP
DT.* VB.* NN.* LM VB.* RB.* VB.* JJ.* CC.* JJ.* CC.* CC.* PM.* JJ.* CC.* VB.* DT.* NN.* CC.* JJ.* RB.* CC.* NN.*_PM.*,DTC VBTS_CCP NNC LM VBTF RBW VBH JJD CCP JJD CCP CCR PMS JJD CCB VBW DTC NNC CCP JJD RBL CCT NNC_PMP
DT.* NN.* CC.* NN.* CC.* JJ.* NN.* CC.* CC.* DT.* VB.* CC.* CC.* DT.* NN.* LM VB.* CC.* DT.* DT.* NN.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* NN.* CC.* NN.* NN.* CC.* CC.* PR.* RB.* DT.* NN.* CC.* PR.*_PM.* NN.* PR.* NN.* CC.* DT.* NN.* NN.* LM RB.* VB.* CC.* VB.*_PM.*,DTC NNC CCT NNC CCB JJD_CCP NNC CCA CCT DTCP VBTR CCB CCB DTCP NNC LM VBOB CCA DTC DTCP NNC CCP VBTS CCT NNP CCP DTPP NNP NNP CCA NNP NNP CCA CCA PRI RBI_CCP DTCP NNC CCT PRI_PMS NNCA PRI_CCP NNC CCB DTP NNP NNP LM RBF VBTS CCP VBAF_PMP
DT.* NN.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* DT.* NN.* CC.* FW PM.* NN.* CC.* NN.* LM VB.*_PM.* VB.* PR.*_PM.* CC.* CC.* CC.* NN.* CC.* JJ.* NN.* CC.* NN.* CC.* NN.*_PM.*,DTC NNP NNP CCB NNP CCP DTP NNP NNP LM VBTS CCP DTC NNC CCT FW PMS NNC CCT NNP LM VBTF_CCP_PMS VBTF_CCP PRI_PMS CCT CCT CCB NNC CCB JJCS_JJD_CCP NNC CCT NNC CCT NNP_PMP
VB.* CC.* DT.* NN.* NN.* DT.* NN.* CC.* PR.* NN.* CC.* NN.* CC.* VB.* PR.* CC.* NN.* NN.*_PM.*,VBTS CCB DTCP NNC_CCP NNP DTC NNC CCB PRI_CCP NNC CCB NNP CCP VBTS PRP CCT NNC NNC_PMP
CC.* PR.* NN.* VB.* DT.* RB.*_PM.* FW NN.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* CC.* JJ.* NN.* CC.* NN.* CC.* DT.* NN.* NN.*_PM.*,CCT PRQ_CCP NNC VBW DTC RBM_PMS FW NNC NNC LM VBTS CCT NNC CCB NNP CCA CCB JJD_CCP NNC CCB NNP CCP DTP NNP NNP_PMC
PR.* NN.* CC.* CC.* JJ.* NN.* CC.* NN.* CC.* NN.* DT.* VB.* DT.* NN.*_PM.*,PRI_CCP NNC CCT CCT JJD_CCP NNC CCB NNP CCP NNP DTC VBTS DTC NNC_PMP
RB.* VB.* CC.* CD.* CC.* NN.* DT.* VB.* RB.* JJ.* PM.* CD.* CC.* JJ.* PM.* CD.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* DT.* VB.* CC.* NN.* CC.* JJ.* CC.* NN.* CC.*_PM.* FW FW NN.*_PM.* NN.* NN.* NN.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* FW NN.*_PM.*,RBF VBTF CCT CDB CCP NNC DTC VBTS RBW_CCP JJN PMS CDB CCA JJN PMS CDB CCB NNP CCT NNC CCB DTCP NNC CCB DTCP VBTR CCB NNC CCT JJD CCP NNC CCB_PMS FW FW NNP_PMS NNPA NNP NNP NNPA CCT NNC CCB NNP CCT NNP FW NNP_PMC
NN.*_PM.*,NNP_PMP
DT.* NN.* LM VB.* CC.* NN.* NN.* CC.* NN.* NN.* NN.* NN.* NN.* NN.* CC.* RB.* JJ.* CC.* VB.* DT.* PR.* NN.* CC.* NN.* CC.* NN.*_PM.*,DTC NNC LM VBTR CCB NNC_CCP NNC CCP NNP NNP NNP NNP NNP NNPA CCP RBF JJD CCP VBW DTC PRI_CCP NNC CCB NNC CCT NNC_PMP
DT.* DT.* NN.* CC.* NN.* NN.* LM RB.* VB.* DT.* DT.* NN.* NN.* CC.* NN.* CC.* VB.* DT.* PR.* NN.*_PM.*,DTC DTCP NNC CCB NNP NNP LM RBD_CCP VBOF DTC DTCP NNC_CCP NNC CCB NNPA CCT VBOF DTC PRSP_CCP NNC_PMP
DT.* DT.* NN.* CC.* JJ.* NN.* CC.* NN.* LM VB.* CC.* NN.* RB.* NN.* RB.* CC.* JJ.* CC.* PM.* NN.* CC.* DT.* NN.* CC.* NN.* VB.* DT.* DT.*_PM.* PR.* NN.*_PM.*_PM.*,DTC DTCP NNC CCB JJN_CCP NNC CCT NNPA LM VBOF CCB NNC RBW_CCP NNC RBR CCT JJD_CCP CCR PMS NNC CCT DTCP NNC CCB NNPA VBS DTC DTCP_PMS PRI_CCP NNC_PMP_PMS
DT.* NN.* CC.* NN.* NN.*_PM.*,DTC NNP CCB NNP NNP_PMC
CC.* VB.* PM.* NN.* CC.* NN.*_PM.*,CCP VBTS PMS NNC CCB NNC_PMC
LM VB.* CC.* DT.* NN.* LM_PM.* VB.* NN.*_PM.*_PM.*,LM VBTS CCP DTC NNC LM_PMS VBN_CCP NNC_PMP_PMS
DT.* NN.* NN.*_PM.*,DTC NNC_CCP NNC_PMC
LM JJ.* CC.* VB.* CC.* CD.*_PM.*,LM JJD CCP VBTS CCT CDB_PMC
